iter	Passed	Remaining
0	1	141
1	2	131
2	3	122
3	4	114
4	5	113
5	7	113
6	8	111
7	9	109
8	10	107
9	11	107
10	13	106
11	14	105
12	15	104
13	16	103
14	17	101
15	19	99
16	20	98
17	21	96
18	22	94
19	23	93
20	24	91
21	25	91
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	73
38	46	72
39	47	71
40	48	69
41	48	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	99	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	115	0
